uuid,name,surname,password,birthday,genre,phone,email,dpi,street,city,state,country,postal_code,bank_uuid,employee_uuid,work_related_tags,declared_income
eb5ecf01-5e68-4fe7-9484-16353208d76c,Anthony,Galvan,password123,1997-04-12,Female,905-507-2461x074,pmartinez@example.com,749089541,415 Nicole Plains,West Cindyside,New Hampshire,North Macedonia,96817,7db308e2-8cc1-471c-9584-9629803062d9,3095db72-3324-4d0e-9141-9259c006b396,['finance'],863.6
4ca68bd4-c207-43d0-861b-7ae3112d6909,Matthew,James,password123,1953-07-16,Male,977-621-5123x269,julienorman@example.net,562378873,9777 Hill Mountain Apt. 631,South Michelehaven,Pennsylvania,Vietnam,89077,85630045-2376-40af-b573-a238ab5239f8,eb894c46-82ce-454d-9834-c8b4eed7b414,['agriculture'],9166.89
9b8a48cf-183e-4a9d-8f4b-6cd2febd12bf,Colton,Curtis,password123,1944-01-24,Female,902-723-6649,ymurray@example.org,55355168,35441 David Squares Suite 587,Margarethaven,Arizona,Kiribati,97283,ff0b7efa-b8ac-4d40-806a-ab268fed7301,1dbfe1b7-2961-4aa7-bc3a-5a8934938d09,"['technology', 'textile']",4160.5
e3d0ce4c-55ac-4e0b-9cfc-cb7fc6e60cd0,Jared,Jenkins,password123,2000-02-26,Male,(346)766-0216,timothy39@example.org,801736227,96806 Cooper Place Apt. 260,South Heather,Connecticut,Uzbekistan,23216,8f872c4a-480b-4737-b8b1-ce6ce9ed71a3,3588a3af-68b6-4694-bf1b-0ca09ce20027,"['textile', 'finance']",7448.29
042c1b7a-85d2-4b3f-8542-74c9bec6bb38,Gina,Wright,password123,1969-11-18,Female,(632)242-2427x2518,amarshall@example.com,883528204,9771 Alvarez Haven,Nixonville,California,Ghana,01600,c98eb443-0a39-476c-b59b-8aa06732e3c9,0fc765b1-9365-476b-90d5-c25732e9e65a,"['agriculture', 'finance']",9786.81
65d68775-085b-4996-93ce-70d8985b1fb7,Steven,Mcintosh,password123,1940-06-19,Male,290.893.8213,bperez@example.com,558045941,3983 Laura Mill,Valenciafort,Utah,Comoros,60292,0527553d-ebe5-4422-aca1-83bd08ec87a1,8c20844c-ef17-4d66-bdc3-73f30bcb47aa,['agriculture'],8844.78
a05b4a28-02e4-4aa7-9566-c383852ae22c,Michael,Hall,password123,1998-05-10,Female,001-673-531-8524,jacob72@example.net,795765932,73893 Ross Junctions,Oneillport,Florida,Mayotte,66535,9e915fbf-6563-4601-9126-199398de1832,6817c345-e2b7-4126-ac60-5e7367219785,['agriculture'],9222.61
43a307e6-d75e-450c-893a-03a636699d02,Samantha,Berg,password123,1952-05-23,Male,728-643-7805x2074,melissawilliams@example.com,860041152,125 Thomas Ferry Apt. 575,Kimberg,Arizona,New Caledonia,59756,edefc661-a046-4de1-9a2a-5a3362b0dacd,f72e1682-a2df-4b33-882b-473d1b25cba0,['technology'],846.02
6a432e53-61d2-46a7-9034-8f94351fc6b5,James,Webster,password123,1954-11-13,Female,001-343-397-6330,corey88@example.org,162338730,91242 Erica Ridges Apt. 949,Amandabury,Virginia,Sao Tome and Principe,55828,9e915fbf-6563-4601-9126-199398de1832,f0bee9b2-baec-4e89-9db4-e68bd3eaee6a,"['agriculture', 'textile', 'finance']",1125.66
6bf54d1a-36a5-42fc-b080-5f0cff4a045b,Tracy,Wyatt,password123,1942-11-10,Female,608-710-5791,acarroll@example.com,8913760,707 Robinson Plaza Apt. 304,South Tony,Pennsylvania,Cote d'Ivoire,62886,4eea8a84-769b-4fec-b153-831ba511900a,b784033e-008d-44e9-a079-2e40a9ee94c2,"['agriculture', 'finance']",382.54
afd022b9-8977-41c1-a658-d1087a8da19c,Amanda,Sawyer,password123,1985-07-04,Female,+1-468-907-1819x840,whitejames@example.org,297405898,51004 Phillips Plains Suite 882,North Allisonburgh,Hawaii,Northern Mariana Islands,57466,9ce70298-0a53-4f04-b860-ac49fb903f50,9b4e316c-be5f-4ef0-948d-4242272d28d9,"['education', 'textile', 'agriculture']",8596.59
e747e1d9-9e05-4315-8e75-50607c62e378,Tara,Austin,password123,1972-05-14,Female,+1-945-210-4465,jeffreyshaffer@example.net,109121025,63994 Parker Road,North Brian,Michigan,Argentina,18237,3b43f907-cef9-4575-a72d-9ba32acfc395,805980d9-f5e2-4187-b07d-0e22c4d5b053,"['education', 'finance', 'textile']",4432.76
5aadc194-699c-4b0b-8db7-104c8c0ec73d,Courtney,Bryant,password123,1998-12-02,Female,351-689-3393x540,david55@example.com,632932974,399 Johnathan Pines Suite 306,East John,Iowa,Cuba,46251,e883e00d-1210-48fb-b25f-9602392cd4b0,e72314ed-698a-471a-b2cb-e5e2380bca7a,['finance'],7201.82
feeb0502-70c2-4740-bdaa-463c5b69af24,Kimberly,Wright,password123,1983-01-02,Male,001-525-777-4783x307,grahamtaylor@example.com,907576653,5214 Alicia Falls,New Debrafurt,Georgia,Tajikistan,64408,16c67678-7651-4a44-ab89-0514574e8d32,b3ab6705-359c-414e-abbb-46f89e1fd315,"['finance', 'education', 'agriculture']",3065.58
c1b49f32-7c9e-4b52-a4da-ea51cd683808,Deborah,Sanchez,password123,2001-03-04,Male,(657)786-6339,melinda91@example.com,10477372,0491 William Vista Suite 708,Lake Brittany,California,Jersey,07040,f24ce5ce-6ef5-42b9-914b-1ba7da6e4f4c,49209eb9-5df4-4807-be58-b18ee90a84d4,['agriculture'],7370.61
755720c9-d170-4a40-84a4-8ebebf9c9f06,Brandon,Hines,password123,1961-01-29,Female,001-475-650-8638x4725,ericwilkins@example.com,370704537,5727 James Mountain Suite 633,West Alicia,Michigan,Latvia,33221,e0b9e5f0-48f7-4df3-ba36-b6961696dcbd,4a75c7f1-a7a9-4e31-afc0-db6bd2c33018,['technology'],6713.1
9ec53151-a52f-48c2-b70f-1d702b453b35,Anthony,Stewart,password123,1995-12-11,Female,243.231.5769x6476,estradasteven@example.com,44043770,37475 Barbara Mill Suite 806,East Craig,Oklahoma,India,77154,f1df6dbf-6278-4c29-9bd0-4abbf47d032f,02fe198c-1721-4d87-937e-25283b56e569,"['agriculture', 'textile']",3256.68
d536fe53-6fe3-4c2a-bf93-7ca337a9b25a,Jenny,Clark,password123,1995-08-30,Female,001-642-855-0975x90027,lisaochoa@example.com,227798691,11034 Tammy Parks Suite 663,Debraside,North Dakota,Kiribati,77974,db70d3f1-ecb1-4106-91d5-c1c915549253,13263eb3-b1a8-4281-a757-e031ea288808,"['textile', 'agriculture']",4164.0
680a656c-a317-4deb-b185-477775843b44,Amber,Bishop,password123,1972-02-03,Male,+1-659-438-3869x619,ofuentes@example.com,751139061,79086 Jordan Mission,Sarachester,Alaska,South Georgia and the South Sandwich Islands,42463,5cf637df-79f1-4b79-8996-624b31322283,84c35d59-7b86-471c-86e8-5f60ac21d034,"['finance', 'agriculture', 'education']",6764.54
afc2ca78-f042-45e5-b77e-6c774698ae3d,Lauren,Chambers,password123,1954-10-05,Male,(922)885-2674x097,joseph98@example.org,886722689,90891 James Crest Apt. 530,East Jeffrey,North Dakota,Comoros,89625,2b85b3f5-cc19-4ec4-af09-5101f082dc79,8a6ecbbe-e638-4e16-8fc6-8d687a3c7c91,"['technology', 'textile']",293.2
7a45489c-cdda-4481-bd45-eaef932ab05b,Martha,Jordan,password123,1988-05-28,Female,645-563-4271x94397,holly66@example.com,145348269,717 Steven Pass Suite 830,West Douglas,Massachusetts,Sao Tome and Principe,90837,3df1a3b0-b941-4f56-a863-3519e0b75773,224bcd1c-67f2-4615-b3ac-76c46429e340,"['technology', 'textile']",1750.08
69b0d122-326c-411c-875a-80c69774a637,Janet,Mckee,password123,1954-05-18,Female,(915)281-9586,jamesmanning@example.net,722227586,3500 Elizabeth Tunnel,North Robert,Illinois,Thailand,81855,4aaad543-d569-4bd4-8a66-7c7e6bc97e5a,39db9ce1-9ae1-4cc8-b958-ddb2ced4db5c,['textile'],8801.26
a3ddaec4-14cd-4e0a-86f0-a40f8e8f0b91,Jessica,Gardner,password123,1958-11-16,Female,001-977-640-4808x66071,lfoster@example.com,1060722,99521 Colon Grove,West Morgan,Rhode Island,Iceland,84479,8643dfd7-52b1-4dc9-93b1-e58aaf03e9e6,1ba98521-3591-43a2-ad77-5d35439cc665,"['technology', 'agriculture']",4927.65
ff609bb1-458c-4499-a645-fbeaecc34b13,Angela,English,password123,1969-07-26,Female,001-378-975-4527x4877,clarkdiana@example.com,295065116,084 Davis Streets,Michaelview,Delaware,Czech Republic,99091,95e4d2aa-e38c-406c-b2eb-f6da7f98d2b0,d743d77f-400b-4ffe-a38f-9d55d3a9945e,"['technology', 'finance', 'agriculture']",564.26
99d75bb9-005a-4e07-af82-e9c64f758af1,Janice,Fox,password123,1996-10-25,Female,765.363.7389x83027,ogarcia@example.org,541956638,5951 Ashley Park Apt. 397,Melissaborough,Delaware,Monaco,19923,4aaad543-d569-4bd4-8a66-7c7e6bc97e5a,e910635e-27f3-4679-af42-8611b9c0e1d1,['finance'],4234.95
2d7ef15f-1728-4c97-b5fb-a9458557bcb8,Jennifer,Sampson,password123,1993-09-05,Female,+1-433-767-2174,kellymichael@example.com,834838502,6638 Cain Lock Suite 909,Davidborough,Florida,Burkina Faso,76583,f3fcd5f9-6e21-4fbd-b0ba-2c0a3a2bd024,27f4b7d6-4d7b-41dc-b938-3676f0de1182,['agriculture'],8316.67
